"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
2,45,MBRALTINFL,Member Alternate Insurance Code,A code that indicates whether the member has a different insurance company or plan that may be responsible for primary payment for the products dispensed.  The code also indicates how claims for this member should be processed.  Also referred to as Coordination of Benefits.,"Blank = Not specified
N = No: Member does not have additional coverage; coverage is primary
Y = Yes: Member has other insurance and the claim should process under the other insurance first. 
D = Dual Coverage: Indicates all matching member records should be considered to determine the most appropriate record to use for claim processing. Also indicates the current record is open for use to pay claims. If the member record with this code is determined to be the best match, the claim is processed against this record and acts as an N record from that point forward.
X = Y/Dual Coverage: Acts like Y. When flag is X, the system continues to look for other matching records to use. If another matching record is found with a D, Dual Coverage logic is used to determine which record to use for claim processing. If the only available record is X, claim will reject. 
0 = Additional Coverage: There is additional coverage and the claims processing system should look under the same carrier for benefits.
1 = Additional Coverage, Other Carrier: There is additional coverage, but the claims processing system should look under another carrier for benefits.
Note: Values Y, 0, and 1 work in conjunction with Process COB field on Member Eligibility Detail screen in plan edit #2. ",A,1,400,400,0,0,,,
3,46,MBRALTINCD,Member Alternate Insurance Name,"The name of the alternate insurance company or plan that may be responsible for primary payment for the products dispensed.  Alternate insurance data must be submitted on member eligibility file in order for this field to be functional.

Note:  This field only contains a value when the MBRALTINFL field (#45) does not contain 'N'. ",,A,10,401,410,0,0,,,
3,47,MBRALTINID,Alternate Insurance Member ID,The member identifier associated with the alternate insurance. Alternate insurance data must be submitted on member eligibility file in order for this field to be functional.,,A,20,411,430,0,0,,,
2,48,MBRMEDDTE,Member Medicare Coverage From Date,"The start date of the member's Medicare coverage, also known as the Original From Date (OFD). Medicare insurance data must be submitted on member eligibility file in order for this field to be functional.",,N,8,431,438,8,0,,,
2,49,MBRMEDTYPE,Member Medicare Coverage Type,The code that indicates the type of Medicare coverage that the member currently has. ,"Valid values are these:
Blank = Not specified
A = Secondary Part A
B = Part B
D = Parts A & B Age 65
M = Parts A & B
N = Not Covered
R = Renal
U = Secondary, Unknown
W = Secondary, Working/TEFRA
Y = Yes, Undefined",A,1,439,439,0,0,,,
2,50,MBRHICCDE,Medicare Beneficiary Identifier (MBI) ,"The MBI is a random alpha-numeric ID assigned to the member that does not contain any personally identifiable information. 

This ID replaced the HICN (Health Insurance Claim Number) in April 2018. Medicare insurance data must be submitted on member eligibility file in order for this field to be functional.",,A,20,440,459,0,0,,,
3,51,CARDHOLDER,Subscriber ID - Submitted,The identification number assigned to the person responsible for payment of premiums or whose employment is the basis for eligibility for membership in a health plan.  This is the exact ID that was submitted on the claim. This data must be submitted on the claim by the adjudicating pharmacy.,,A,20,460,479,0,0,302-C2,Cardholder ID,Insurance ID assigned to the cardholder or identification number used by the plan.
3,52,PATLASTNME,Member Last Name - Submitted,The member's last name as submitted on the claim. This data must be submitted on the claim by the adjudicating pharmacy.,,A,15,480,494,0,0,311-CB,Patient Last Name,Individual last name.
3,53,PATFRSTNME,Member First Name - Submitted,The member's first name as submitted on the claim. This data must be submitted on the claim by the adjudicating pharmacy.,,A,12,495,506,0,0,310-CA,Patient First Name,Individual first name.
3,54,PERSONCDE,Person Code - Submitted,The identification code assigned to a specific person within a family (or subscriber) as submitted on the claim. Person code is optionally used in conjunction with the subscriber ID number to uniquely identify family members within the subscriber ID number (last 2 digits of the card ID). This data must be submitted on the claim by the adjudicating pharmacy.,,A,3,507,509,0,0,303-C3,Person Code,Code assigned to a specific person within a family.
3,55,RELATIONCD,Relationship Code - Submitted,The member's connection to the subscriber as submitted on the claim.,"Blank or 0 = Not Specified
1 = Subscriber
2 = Spouse
3 = Child
4 = Other",A,1,510,510,0,0,306-C6,Patient Relationship Code,Code indicating relationship of patient to cardholder.
3,56,SEXCODE,Member Gender Code - Submitted,The gender of the member as submitted on the claim by the pharmacy.,"0 = Unspecified
1 = Male
2 = Female
3 = Non-binary",A,1,511,511,0,0,305-C5,Patient Gender Code,Code indicating the gender of the individual.
3,57,BIRTHDTE,Member Date of Birth - Submitted,The date of birth of the member as submitted on the claim.,Format = CCYYMMDD,N,8,512,519,8,0,304-C4,Date Of Birth,Date of birth of patient.
3,58,ELIGCLARIF,Eligibility Clarification Code - Submitted,"The code that indicates whether the current eligibility status of the member should be overridden to allow benefit coverage. An override may be required if eligibility is not maintained at the dependent level, and the dependent's status requires clarification to extend coverage to this member.  Without the override, claims for this member will reject.

Example: The member has become a student but eligibility has not been updated yet. The pharmacy can indicate “3” so that the carrier may override eligibility for this member.
","0  or blank = Unspecified
1 = No Override
2 = Override
3 = Full time Student
4 = Disabled Dependent
5 = Dependent Parent
6 = Significant Other",A,1,520,520,0,0,309-C9,Eligibility Clarification Code,Code indicating that the pharmacy is clarifying eligibility for a patient.
3,59,CUSTLOC,Customer Location Code - Submitted,"The identifier of the healthcare facility that is associated with the member as submitted on the claim. A care facility may be a clinic, nursing home, or other center that provides healthcare services. 

",See the Place of Service Codes tab. ,A,2,521,522,0,0,,,
4,60,PRMCAREPRV,Primary Care Provider ID - Submitted,The identification number assigned to the member's primary medical provider as submitted on the claim.  A primary provider is the member's first point of contact for any undiagnosed health concern. This data must be submitted on the claim by the adjudicating pharmacy.,,A,15,523,537,0,0,421-DL,Primary Care Provider ID,ID assigned to the primary care provider. Used when the patient is referred to a secondary care provider.
4,61,PRMCAREPRQ,Primary Care Provider ID Qualifier - Submitted,"The code that indicates the type of provider ID that was submitted on the claim, e.g., DEA, NPI, etc. ","Examples: 
01 = NPI
06 = UPIN
12 = DEA
",A,2,538,539,0,0,468-2E,Primary Care Provider ID Qualifier,Code qualifying the ‘Primary Care Provider ID’ (421-DL).
4,62,FACILITYID,Facility ID - Submitted,"The 10-character identifier of the specific healthcare facility that is associated with the member as submitted on the claim. A care facility may be a clinic, nursing home, or other center that provides healthcare services.  ","Examples are hospitals, clinics, and nursing home.",A,10,540,549,0,0,336-8C,Facility ID,ID assigned to the patient’s clinic/host party.
3,63,OTHCOVERAG,Other Coverage Code - Submitted,The code that indicates whether or not the member has other insurance coverage as submitted on the claim. This is a standard NCPDP field for the pharmacy to submit to indicate if the record is primary or secondary.  ,"0 = Not specified
1 = No other coverage identified
2 = Other coverage exists; payment collected
3 = Other coverage exists; this claim not covered
4 = Other coverage exists; payment not collected
5 = Managed care plan denial
6 = Other coverage denied; not a participating provider
7 = Other coverage exists; not in effect at time of service
8 = Claim is a billing for a copay",A,1,550,550,0,0,308-C8,Other Coverage Code,Code indicating whether or not the patient has other insurance coverage.
2,64,BINNUMBER,Bank Identification Number (BIN) - Submitted,"The Bank ID Number or card issuer ID that is used for network routing of the claim payment.  This ID must be submitted on the claim by the adjudicating pharmacy. The BIN must be established with Prime in order for the claim to populate this file. 

Each electronic claims processor must have a BIN assigned by the American National Institute. ",,A,6,551,556,0,0,101-A1,BIN Number,Card Issuer ID or Bank ID Number used for network routing.
2,65,PROCESSOR,Processor Control Number - Submitted,An input code used by pharmacies that identifies the claim to be sent to Prime and how to process the claim. This data must be submitted on the claim by the adjudicating pharmacy.,,A,10,557,566,0,0,104-A4,Processor Control Number,Number assigned by the processor.
3,66,GROUPNBR,Group Number - Submitted,"The identifier assigned to the group associated with the submitted claim.  This number is used to determine how to process the claim, based on the rules for the group. This data must be submitted on the claim by the adjudicating pharmacy.",,A,15,567,581,0,0,301-C1,Group ID,ID assigned to the cardholder group or employer group.
3,67,TRANSCDE,Transaction Code - Submitted,"The numeric code that specifies the type of transaction sent or received. 

Transaction Types include:
- Claim(s) original billing
- Claim(s) reversal or backout
- Claim(s) billing following downtime
- Claim(s) re-billing; reverse prior billing & original bills
- Claim(s) refill billing
- Claim(s) information for DUR",See the Submitted Transaction Code tab. ,A,2,582,583,0,0,103-A3,Transaction Code,Code identifying the type of transaction.
1,68,DATESBM,Claim Submitted Date ,"The date the claim was submitted to the claims processing  system to be processed.  If this is the original claim, then this date will be identical to the ORGPDSBMDT field (#70).",Format = YYYYMMDD,N,8,584,591,8,0,,,
3,69,TIMESBM,Claim Submitted Time,"The time the claim was submitted to the claims processing  system.

",Format = HHMMSS,N,6,592,597,6,0,,,
3,70,ORGPDSBMDT,Original Paid Transaction Submitted Date,"The date the claim was submitted the first time to the claims processing  system to be processed and had a paid status.  
",Format = YYYYMMDD,N,8,598,605,8,0,,,
3,71,RVDATESBM,Claim Reversal Submitted Date,The date the claim was submitted to the claims processing  system to be processed and flagged as a reversal. ,Format = YYYYMMDD,N,8,606,613,8,0,,,
3,72,CLMCOUNTER,Claim Counter,"A number assigned to each claim based on its paid status. These numbers are used to determine the total number of paid claims and for reporting purposes. 

Each paid claim counts as 1, and each reversed claim counts as -1. ","1 = Paid
-1 = Reversed",S,1,614,614,1,0,,,
3,73,GENERICCTR,Brand/Generic Drug Counter,"A number assigned to each claim based on whether the drug is generic or brand. These numbers are used to determine the total number of paid generic claims for reporting purposes.

Each generic, paid claim counts as 1, each brand (not generic) claim counts as 0, and each reversed claim counts as -1.  ","1 = Generic, paid
0 = Not generic, paid
-1 = Reversed",S,1,615,615,1,0,,,
3,74,FORMLRYCTR,Formulary Counter,"A number assigned to each claim based on whether the drug is on the benefit plan's formulary or not.  These numbers are used to determine the total number of paid claims for formulary drugs for reporting purposes.

Each formulary, paid claim counts as 1, each non-formulary claim counts as 0, and each reversed claim counts as -1.  ","1 = Formulary
0 = Not formulary
-1 = Reversed",S,1,616,616,1,0,,,
1,75,RXNUMBER,Prescription Number - Submitted,"The prescription number assigned to the submitted claim.  This is the reference number assigned by the provider for the dispensed drug or product and/or service provided. 

","First 9 characters of the Submitted Rx Number

Note:  To view all 12 characters of the Submitted Rx Number, go to RXNUMBER12, TCD Sbm Rx Nbr (Field #496).  The two fields display the same Submitted Rx Number. ",A,9,617,625,0,0,402-D2,Prescription/ Service Reference Number,Reference number assigned by the provider for the dispensed drug/product and/or service provided.
4,76,RXNUMBERQL,Prescription Number Qualifier - Submitted ,"The code that indicates the type of billing submitted with the claim. 

Note:  Currently, Prime's claims processing system only supports RxBilling, which is for prescription fills.","Valid Values are 0, 1, or 2.  

Prime only uses 1 = RxBilling
",A,1,626,626,0,0,455-EM,Prescription/ Service Reference Number Qualifier,Indicates the type of billing submitted.
1,77,REFILL,Prescription New/Refill Code - Submitted,"The code that indicates whether the prescription is an original fill or a refill as submitted on the claim.  If it's a refill, the code is the number of the refill.","00 - New prescription
01 to 99 - Number of refills",A,2,627,628,0,0,403-D3,Fill Number,The code indicating whether the prescription is an original or a refill.
5,78,DISPSTATUS,Dispense Status,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,629,629,0,0,,,
1,79,DTEFILLED,Prescription Fill Date - Submitted,The date the prescription was dispensed as submitted on the claim.,Format = YYYYMMDD,N,8,630,637,8,0,457-EP,Associated Prescription/Service Date,Date of the ‘Associated Prescription/Service Reference Number’ (456-EN).
1,80,COMPOUNDCD,Prescription Compound Code - Submitted,"A numeric code indicating whether or not the prescription is a compound as submitted on the claim. 

Note:  When a claim is for a multiple ingredient compound drug, the compound ingredient details are found on the Compound Claims Extract File (optional file sent with the MCEF).","1 = Not a Compound
2 = Compound",A,1,638,638,0,0,406-D6,Compound Code,Code indicating whether or not the prescription is a compound.
1,81,PRODTYPCDE,Product ID Qualifier - Submitted,"The two-digit qualifier that indicates the type of pharmaceutical identifier that was submitted on the claim, e.g., UPC, NDC, etc. 

Note:  The code displayed in this field indicates the type of value that displays in the PRODUCTID field (#82) If the PRODTYPCDE field displays 03, then an NDC displays in the PRODUCTID field.  ",See the Product Type Codes tab. ,A,2,639,640,0,0,436-E1,Product/Service ID Qualifier,Code qualifying the value in 'Product/Service ID' (4Ø7-D7).
1,82,PRODUCTID,Product ID - Submitted,"The actual pharmaceutical identifier as submitted on the claim. This data must be submitted on the claim by the adjudicating pharmacy.

Notes:  The value displayed in this field is the actual ID for the type indicated in the PRODTYPCDE field (#81). 

When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",,A,20,641,660,0,0,407-D7,Product/Service ID,ID of the product dispensed or service provided
4,83,PRODUCTKEY,Product Key,"The precise product file record that was used during claim processing. This key is internal to Prime's product file code.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",,N,9,661,669,9,0,,,
3,84,METRICQTY,Metric Quantity Dispensed - Submitted,"The number of metric units of medication dispensed. This must comply with NCPDP billing unit standards.

Note:  This is a legacy field, is not required and has been replaced by DECIMALQTY field (#85).","This value is calculated by multiplying the quantity that the pharmacy dispensed by the billing unit, as indicated in the Std Billing Unit field on the Product Detail screen. 

Metric Quantity = Dispensed Quantity x Billing Unit.",S,5,670,674,5,0,404-D4,Metric Quantity,Number of metric units of medication dispensed.
1,85,DECIMALQTY,Quantity Dispensed - Submitted,The quantity of the prescription that the pharmacy submitted and dispensed. This data must be submitted on the claim by the adjudicating pharmacy.,,S,11,675,685,11,3,442-E7,Quantity Dispensed,Quantity dispensed expressed in metric decimal units.
1,86,DAYSSUPPLY,Days Supply - Submitted,The number of days a prescription will last. This data must be submitted on the claim by the adjudicating pharmacy.,,S,3,686,688,3,0,405-D5,Days Supply,Estimated number of days the prescription will last.
1,87,PSC,Product Selection Code - Submitted,The submitted code that indicates whether the prescription must be filled as written or a drug substitution is allowed.,"0 = No product selection indicated
1 = Substitution not allowed by prescriber
2 = Substitution allowed - patient requesting product dispensed 
3 = Substitution allowed - pharmacist selected product dispensed
4 = Substitution allowed - generic drug not in stock
5 = Substitution allowed - brand drug dispensed as a generic
6 = Override
7 = Substitution not allowed - brand drug mandated by law
8 = Substitution allowed - generic drug not available in marketplace
9 = Other ",A,1,689,689,0,0,408-D8,Dispense As Written (DAW)/ Product Selection Code,Code indicating whether or not the prescriber’s instructions regarding generic substitution were followed.
2,88,WRITTENDTE,Prescription Written Date -  Submitted,The date the prescription was written by the prescriber.,"Format = YYYYMMDD
",N,8,690,697,8,0,414-DE,Date Prescription Written,Date prescription was written.
2,89,NBRFLSAUTH,Number of Authorized Refills - Submitted,The prescribed number of refills allowed.,"00 through 99, with 99 being as needed, refills unlimited",S,2,698,699,2,0,415-DF,Number of Refills Authorized,Number of refills authorized by the prescriber.
2,90,ORIGINCDE,Prescription Origin Code - Submitted,The code that indicates the method used to submit the  prescription to the pharmacy. ,"0 = Not specified
1 = Written
2 = Telephone
3 = Electronic
4 = Facsimile
5 = Pharmacy",A,1,700,700,0,0,419-DJ,Prescription Origin Code,Code indicating the origin of the prescription.
4,91,SBMCLARCD1,Prescription Denial Clarification Code - Submitted,"The code that indicates special processing instructions.  

Example:  The pharmacy can submit the claim with a code explaining that this claim is for a vacation supply, lost prescription, therapy change, etc. ",See the Rx Denial Clarification tab. ,A,2,701,702,0,0,420-DK,Submission Clarification Code,Code indicating that the pharmacist is clarifying the submission.
3,92,PAMCNBR,Prior Authorization/Medical Certification Number - Submitted,"The number associated with the Prior Authorization (PA) for the member and submitted by the pharmacy.  This data must be submitted on the claim by the adjudicating pharmacy. This is not the PA number that is attached to a member record.

If this claim uses a dynamic PA, a PA message is sent from Prime to the pharmacy, telling the pharmacy to enter a specific number to allow the PA to pay. ",,A,11,703,713,0,0,416-DG,Prior Authorization/Medical Certification Code and Number,"Value indicating prior authorization or medical certification occurred, and the number associated with the code in the left most position."
